"","Placette","X12","X13","X14","X15","X16","X17","X19","X21","X22"
"1",1,0.248670838281938,0.167392742486011,0.21976289165723,0.238475850228992,0.262920417995513,0.19635352457707,0.224051646725708,0.136528750222525,0.204467335111134
"2",10,0.0404043730274414,0.156891753883819,0.259368155756902,0.248850086559699,0.20288744314113,0.242044466617091,0.110455668881046,0.104671164867121,0.243122863241637
"3",11,0.184235122782524,0.194978526050931,0.209383291273905,0.248420899402739,0.108624532204272,0.240625170033808,0.319150009181113,0.306349911010635,0.202935777728563
"4",12,0.251258676754301,0.168027091984361,0.190461553586077,0.235931993872117,0.168050053767891,0.179399047217845,0.137015427947648,0.217406712804871,0.224268273584548
"5",13,0.244010811977559,0.244010811977559,0.179196112152008,0.183782758959844,0.128509037083772,0.192849061418817,0.182530543375866,0.30200132304604,0.184208801836332
"6",14,0.23989579881456,0.232728059960323,0.228166295020866,0.24534597539758,0.146448730486726,0.215012056916933,0.214564633251595,0.267524682542054,0.263798244430402
"7",15,0.0908596050907639,0.224641429781244,0.219267690004232,0.0862184916055903,0.152761788734582,0.282665113648326,0,0.252197777211937,0.213183114543187
"8",16,0.218602025290774,0.21102262732972,0.273701626324348,0.310349402187562,0.167670848337445,0.343851047348663,0.165840710567149,0.226554839558141,0.271046970929578
"9",17,0.214984113435831,0.194263133739402,0.187902377698955,0.173468639433308,0.149575097225892,0.193475587715358,0.232107722083934,0.257632093857981,0.2212413331753
"10",2,0.244043353637823,0.224581219976603,0.14776150506068,0.167020486128476,0.124992722244711,0.153295360621908,0.209383291273905,0.282419959069809,0.152268142205896
"11",3,0.175326264060634,0.161273873836842,0.100983423045096,0.103520664695756,0.150261779534606,0.104105187047979,0.192316754529858,0.220776135760411,0.125554878870046
"12",4,0.246309412117077,0.186697445147568,0.164898099995948,0.193430643867982,0.156693669289729,0.218784557573434,0.204013006198231,0.23844026543753,0.151331569909083
"13",5,0.237673731017774,0.200265326662491,0.149830349403873,0.122974302777304,0.145640158889484,0.185076686730489,0.105662708332218,0.260723542743519,0.147383716244673
"14",6,0.0883525141552546,0.132715917022195,0.168250390619198,0.210049736474231,0.197042164476702,0.175402625843868,0.210049736474231,0.151461617519369,0.181540267319609
"15",7,0.144963905844141,0.144963905844141,0.0694521155814348,0.181540267319609,0.158172266095601,0.153550733329122,0.155078638584642,0.134598097721607,0.15535744696292
"16",8,0.127799769166711,0.218046722050358,0.121222528577841,0.106632717175913,0.156370619484426,0.14315207942407,0.194948395410582,0.337763018621059,0.144191815876763
"17",9,0.322270599405951,0.218730980418349,0.202673431608114,0.166899544635183,0.124963279209183,0.150341845084472,0.154863196112515,0.306171993885917,0.105335981401675
